timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Filename,Latency,Hostname
25/09/2017 13:55,662,470 /escm/order/newOrder,200,OK,Thread Group 1-11,text,true,,9504,637,7,7,http://10.10.3.16:8080/escm/order/newOrder,,658,ESCM-APP
25/09/2017 13:55,1176,467 /escm/login/doAuth?id=loginform,200,OK,Thread Group 1-12,text,true,,10558,2761,8,8,http://10.10.3.16:8080/escm/order/newOrder,,490,ESCM-APP
25/09/2017 13:55,638,470 /escm/order/newOrder,200,OK,Thread Group 1-12,text,true,,9504,637,8,8,http://10.10.3.16:8080/escm/order/newOrder,,627,ESCM-APP
25/09/2017 13:55,6189,471 /escm/order/listAllFeaturedOffers,200,OK,Thread Group 1-6,text,true,,5178,698,8,8,http://10.10.3.16:8080/escm/order/listAllFeaturedOffers,,6185,ESCM-APP
25/09/2017 13:55,18,472 /escm/messages,200,OK,Thread Group 1-6,text,true,,461,579,8,8,http://10.10.3.16:8080/escm/messages,,18,ESCM-APP
25/09/2017 13:55,8136,new_org_login_catalog_landing_with_cache,200,"Number of samples in transaction : 4, number of failing samples : 0",Thread Group 1-6,,true,,25701,4591,8,8,null,,7441,ESCM-APP
25/09/2017 13:55,1375,467 /escm/login/doAuth?id=loginform,200,OK,Thread Group 1-13,text,true,,10558,2737,8,8,http://10.10.3.16:8080/escm/order/newOrder,,600,ESCM-APP
25/09/2017 13:55,6128,471 /escm/order/listAllFeaturedOffers,200,OK,Thread Group 1-7,text,true,,5178,698,9,9,http://10.10.3.16:8080/escm/order/listAllFeaturedOffers,,6125,ESCM-APP
25/09/2017 13:55,686,470 /escm/order/newOrder,200,OK,Thread Group 1-13,text,true,,9504,637,9,9,http://10.10.3.16:8080/escm/order/newOrder,,682,ESCM-APP
25/09/2017 13:55,19,472 /escm/messages,200,OK,Thread Group 1-7,text,true,,461,579,9,9,http://10.10.3.16:8080/escm/messages,,19,ESCM-APP
25/09/2017 13:55,8240,new_org_login_catalog_landing_with_cache,200,"Number of samples in transaction : 4, number of failing samples : 0",Thread Group 1-7,,true,,25701,4663,9,9,null,,7515,ESCM-APP
25/09/2017 13:55,1298,467 /escm/login/doAuth?id=loginform,200,OK,Thread Group 1-14,text,true,,10558,2773,8,8,http://10.10.3.16:8080/escm/order/newOrder,,541,ESCM-APP
25/09/2017 13:55,626,470 /escm/order/newOrder,200,OK,Thread Group 1-14,text,true,,9504,637,8,8,http://10.10.3.16:8080/escm/order/newOrder,,616,ESCM-APP
25/09/2017 13:55,6173,471 /escm/order/listAllFeaturedOffers,200,OK,Thread Group 1-8,text,true,,5178,698,8,8,http://10.10.3.16:8080/escm/order/listAllFeaturedOffers,,6171,ESCM-APP
25/09/2017 13:55,29,472 /escm/messages,200,OK,Thread Group 1-8,text,true,,461,579,9,9,http://10.10.3.16:8080/escm/messages,,29,ESCM-APP
25/09/2017 13:55,8242,new_org_login_catalog_landing_with_cache,200,"Number of samples in transaction : 4, number of failing samples : 0",Thread Group 1-8,,true,,25701,4603,9,9,null,,7531,ESCM-APP
25/09/2017 13:55,1162,467 /escm/login/doAuth?id=loginform,200,OK,Thread Group 1-15,text,true,,10558,2665,8,8,http://10.10.3.16:8080/escm/order/newOrder,,527,ESCM-APP
25/09/2017 13:55,673,470 /escm/order/newOrder,200,OK,Thread Group 1-15,text,true,,9504,637,8,8,http://10.10.3.16:8080/escm/order/newOrder,,671,ESCM-APP
25/09/2017 13:55,6069,471 /escm/order/listAllFeaturedOffers,200,OK,Thread Group 1-9,text,true,,5178,698,9,9,http://10.10.3.16:8080/escm/order/listAllFeaturedOffers,,6064,ESCM-APP
25/09/2017 13:55,19,472 /escm/messages,200,OK,Thread Group 1-9,text,true,,461,579,9,9,http://10.10.3.16:8080/escm/messages,,19,ESCM-APP
25/09/2017 13:55,8036,new_org_login_catalog_landing_with_cache,200,"Number of samples in transaction : 4, number of failing samples : 0",Thread Group 1-9,,true,,25701,4579,9,9,null,,7308,ESCM-APP
25/09/2017 13:55,1345,467 /escm/login/doAuth?id=loginform,200,OK,Thread Group 1-16,text,true,,10558,2713,8,8,http://10.10.3.16:8080/escm/order/newOrder,,618,ESCM-APP
25/09/2017 13:55,710,470 /escm/order/newOrder,200,OK,Thread Group 1-16,text,true,,9504,637,9,9,http://10.10.3.16:8080/escm/order/newOrder,,708,ESCM-APP
25/09/2017 13:55,6192,471 /escm/order/listAllFeaturedOffers,200,OK,Thread Group 1-10,text,true,,5178,698,9,9,http://10.10.3.16:8080/escm/order/listAllFeaturedOffers,,6189,ESCM-APP
25/09/2017 13:55,24,472 /escm/messages,200,OK,Thread Group 1-10,text,true,,461,579,9,9,http://10.10.3.16:8080/escm/messages,,24,ESCM-APP
25/09/2017 13:55,8183,new_org_login_catalog_landing_with_cache,200,"Number of samples in transaction : 4, number of failing samples : 0",Thread Group 1-10,,true,,25701,4699,9,9,null,,7441,ESCM-APP
25/09/2017 13:55,1311,467 /escm/login/doAuth?id=loginform,200,OK,Thread Group 1-17,text,true,,10558,2785,8,8,http://10.10.3.16:8080/escm/order/newOrder,,607,ESCM-APP
25/09/2017 13:55,779,470 /escm/order/newOrder,200,OK,Thread Group 1-17,text,true,,9504,637,9,9,http://10.10.3.16:8080/escm/order/newOrder,,776,ESCM-APP
25/09/2017 13:55,6145,471 /escm/order/listAllFeaturedOffers,200,OK,Thread Group 1-11,text,true,,5178,698,9,9,http://10.10.3.16:8080/escm/order/listAllFeaturedOffers,,6143,ESCM-APP
25/09/2017 13:55,23,472 /escm/messages,200,OK,Thread Group 1-11,text,true,,461,579,9,9,http://10.10.3.16:8080/escm/messages,,23,ESCM-APP
25/09/2017 13:55,8188,new_org_login_catalog_landing_with_cache,200,"Number of samples in transaction : 4, number of failing samples : 0",Thread Group 1-11,,true,,25701,4639,9,9,null,,7354,ESCM-APP
25/09/2017 13:55,1606,467 /escm/login/doAuth?id=loginform,200,OK,Thread Group 1-18,text,true,,10558,2725,8,8,http://10.10.3.16:8080/escm/order/newOrder,,689,ESCM-APP
25/09/2017 13:55,759,470 /escm/order/newOrder,200,OK,Thread Group 1-18,text,true,,9504,637,9,9,http://10.10.3.16:8080/escm/order/newOrder,,755,ESCM-APP
25/09/2017 13:55,1482,467 /escm/login/doAuth?id=loginform,200,OK,Thread Group 1-19,text,true,,10558,2689,9,9,http://10.10.3.16:8080/escm/order/newOrder,,788,ESCM-APP
25/09/2017 13:55,6641,471 /escm/order/listAllFeaturedOffers,200,OK,Thread Group 1-12,text,true,,5178,698,9,9,http://10.10.3.16:8080/escm/order/listAllFeaturedOffers,,6639,ESCM-APP
25/09/2017 13:55,23,472 /escm/messages,200,OK,Thread Group 1-12,text,true,,461,579,9,9,http://10.10.3.16:8080/escm/messages,,22,ESCM-APP
25/09/2017 13:55,8478,new_org_login_catalog_landing_with_cache,200,"Number of samples in transaction : 4, number of failing samples : 0",Thread Group 1-12,,true,,25701,4675,9,9,null,,7778,ESCM-APP
25/09/2017 13:55,623,470 /escm/order/newOrder,200,OK,Thread Group 1-19,text,true,,9504,637,9,9,http://10.10.3.16:8080/escm/order/newOrder,,614,ESCM-APP
25/09/2017 13:55,6324,471 /escm/order/listAllFeaturedOffers,200,OK,Thread Group 1-13,text,true,,5178,698,9,9,http://10.10.3.16:8080/escm/order/listAllFeaturedOffers,,6321,ESCM-APP
25/09/2017 13:55,17,472 /escm/messages,200,OK,Thread Group 1-13,text,true,,461,579,9,9,http://10.10.3.16:8080/escm/messages,,16,ESCM-APP
25/09/2017 13:55,8402,new_org_login_catalog_landing_with_cache,200,"Number of samples in transaction : 4, number of failing samples : 0",Thread Group 1-13,,true,,25701,4651,9,9,null,,7619,ESCM-APP
25/09/2017 13:55,1402,467 /escm/login/doAuth?id=loginform,200,OK,Thread Group 1-20,text,true,,10558,2761,8,8,http://10.10.3.16:8080/escm/order/newOrder,,693,ESCM-APP
25/09/2017 13:55,648,470 /escm/order/newOrder,200,OK,Thread Group 1-20,text,true,,9504,637,9,9,http://10.10.3.16:8080/escm/order/newOrder,,645,ESCM-APP
25/09/2017 13:55,6193,471 /escm/order/listAllFeaturedOffers,200,OK,Thread Group 1-14,text,true,,5178,698,9,9,http://10.10.3.16:8080/escm/order/listAllFeaturedOffers,,6190,ESCM-APP
25/09/2017 13:55,21,472 /escm/messages,200,OK,Thread Group 1-14,text,true,,461,579,9,9,http://10.10.3.16:8080/escm/messages,,21,ESCM-APP
25/09/2017 13:55,8138,new_org_login_catalog_landing_with_cache,200,"Number of samples in transaction : 4, number of failing samples : 0",Thread Group 1-14,,true,,25701,4687,9,9,null,,7368,ESCM-APP
25/09/2017 13:55,1290,467 /escm/login/doAuth?id=loginform,200,OK,Thread Group 1-21,text,true,,10558,2665,8,8,http://10.10.3.16:8080/escm/order/newOrder,,581,ESCM-APP
25/09/2017 13:55,736,470 /escm/order/newOrder,200,OK,Thread Group 1-21,text,true,,9504,637,8,8,http://10.10.3.16:8080/escm/order/newOrder,,731,ESCM-APP
25/09/2017 13:55,6363,471 /escm/order/listAllFeaturedOffers,200,OK,Thread Group 1-15,text,true,,5178,698,9,9,http://10.10.3.16:8080/escm/order/listAllFeaturedOffers,,6358,ESCM-APP
25/09/2017 13:55,23,472 /escm/messages,200,OK,Thread Group 1-15,text,true,,461,579,9,9,http://10.10.3.16:8080/escm/messages,,21,ESCM-APP
25/09/2017 13:55,8221,new_org_login_catalog_landing_with_cache,200,"Number of samples in transaction : 4, number of failing samples : 0",Thread Group 1-15,,true,,25701,4579,9,9,null,,7577,ESCM-APP
25/09/2017 13:55,1389,467 /escm/login/doAuth?id=loginform,200,OK,Thread Group 1-22,text,true,,10558,2785,8,8,http://10.10.3.16:8080/escm/order/newOrder,,582,ESCM-APP
25/09/2017 13:55,657,470 /escm/order/newOrder,200,OK,Thread Group 1-22,text,true,,9504,637,9,9,http://10.10.3.16:8080/escm/order/newOrder,,650,ESCM-APP
25/09/2017 13:55,1324,467 /escm/login/doAuth?id=loginform,200,OK,Thread Group 1-23,text,true,,10558,2677,9,9,http://10.10.3.16:8080/escm/order/newOrder,,527,ESCM-APP
25/09/2017 13:55,6747,471 /escm/order/listAllFeaturedOffers,200,OK,Thread Group 1-16,text,true,,5178,698,9,9,http://10.10.3.16:8080/escm/order/listAllFeaturedOffers,,6744,ESCM-APP
25/09/2017 13:55,34,472 /escm/messages,200,OK,Thread Group 1-16,text,true,,461,579,9,9,http://10.10.3.16:8080/escm/messages,,34,ESCM-APP
25/09/2017 13:55,8836,new_org_login_catalog_landing_with_cache,200,"Number of samples in transaction : 4, number of failing samples : 0",Thread Group 1-16,,true,,25701,4627,9,9,null,,8104,ESCM-APP
25/09/2017 13:55,602,470 /escm/order/newOrder,200,OK,Thread Group 1-23,text,true,,9504,637,8,8,http://10.10.3.16:8080/escm/order/newOrder,,598,ESCM-APP
25/09/2017 13:55,1397,467 /escm/login/doAuth?id=loginform,200,OK,Thread Group 1-24,text,true,,10558,2773,9,9,http://10.10.3.16:8080/escm/order/newOrder,,549,ESCM-APP
25/09/2017 13:55,6601,471 /escm/order/listAllFeaturedOffers,200,OK,Thread Group 1-17,text,true,,5178,698,9,9,http://10.10.3.16:8080/escm/order/listAllFeaturedOffers,,6597,ESCM-APP
25/09/2017 13:55,19,472 /escm/messages,200,OK,Thread Group 1-17,text,true,,461,579,9,9,http://10.10.3.16:8080/escm/messages,,19,ESCM-APP
25/09/2017 13:55,8710,new_org_login_catalog_landing_with_cache,200,"Number of samples in transaction : 4, number of failing samples : 0",Thread Group 1-17,,true,,25701,4699,9,9,null,,7999,ESCM-APP
25/09/2017 13:55,697,470 /escm/order/newOrder,200,OK,Thread Group 1-24,text,true,,9504,637,9,9,http://10.10.3.16:8080/escm/order/newOrder,,694,ESCM-APP
25/09/2017 13:55,1327,467 /escm/login/doAuth?id=loginform,200,OK,Thread Group 1-25,text,true,,10558,2701,9,9,http://10.10.3.16:8080/escm/order/newOrder,,591,ESCM-APP
25/09/2017 13:55,596,470 /escm/order/newOrder,200,OK,Thread Group 1-25,text,true,,9504,637,9,9,http://10.10.3.16:8080/escm/order/newOrder,,594,ESCM-APP
25/09/2017 13:55,6562,471 /escm/order/listAllFeaturedOffers,200,OK,Thread Group 1-18,text,true,,5178,698,9,9,http://10.10.3.16:8080/escm/order/listAllFeaturedOffers,,6559,ESCM-APP
